Fecha,Hora
04/01,286
04/02,251
04/03,337
04/04,331
04/05,325
04/06,468
04/07,342
04/08,286
04/09,280
04/10,397
04/11,374
04/12,329
04/13,402
04/14,375
04/15,335
04/16,345
04/17,387
04/18,345
04/19,296
04/20,458
04/21,484
04/22,377
04/23,460
04/24,539
04/25,519
04/26,512
04/27,627
04/28,535
04/29,405
04/30,550
05/01,676
05/02,614
05/03,567
05/04,775
05/05,594
05/06,480
05/07,567
05/08,598
05/09,620
05/10,572
05/11,746
05/12,681
05/13,508
05/14,631
05/15,735
05/16,706
05/17,634
05/18,815
05/19,650
05/20,555
05/21,556
05/22,688
05/23,638
05/24,443
05/25,427
05/26,789
05/27,708
05/28,600
05/29,579
05/30,543
05/31,631
06/01,861
06/02,668
06/03,528
06/04,597
06/05,690
06/06,559
06/07,537
06/08,740
06/09,750
06/10,493
06/11,562
06/12,684
06/13,727
06/14,580
06/15,735
06/16,671
06/17,494
06/18,600
06/19,677
06/20,569
06/21,612
06/22,802
06/23,632
06/24,537
06/25,588
06/26,717
06/27,593
06/28,589
06/29,650
06/30,545
07/01,414
07/02,477
07/03,615
07/04,500
07/05,418
07/06,778
07/07,715
07/08,622
07/09,645
07/10,801
07/11,662
07/12,666
07/13,804
07/14,788
07/15,689
07/16,729
07/17,750
07/18,730
07/19,694
07/20,884
07/21,762
07/22,644
07/23,654
07/24,802
07/25,718
07/26,814
07/27,960
07/28,720
07/29,630
07/30,643
07/31,802
08/01,1749
08/02,1743
08/03,2081
08/04,1710
08/05,1352
08/06,1519
08/07,1570
08/08,1574
08/09,1726
08/10,1822
08/11,1526
08/12,1322
08/13,1489
08/14,1496
08/15,1555
08/16,1645
08/17,1945
08/18,1452
08/19,1378
08/20,1470
08/21,1564
08/22,1705
08/23,1538
08/24,2059
08/25,1611
08/26,1447
08/27,1631
08/28,1795
08/29,1871
08/30,1627
08/31,1752
09/01,2180
09/02,2124
09/03,1678
09/04,1841
09/05,1780
09/06,1796
09/07,2123
09/08,1664
09/09,1326
09/10,1379
09/11,1447
09/12,1768
09/13,1649
09/14,2038
09/15,1573
09/16,1340
09/17,1560
09/18,1839
09/19,1876
09/20,1774
09/21,2140
09/22,1498
09/23,1248
09/24,1359
09/25,1605
09/26,1609
09/27,1589
09/28,2214
09/29,1614
09/30,1236
